|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      07780|GRB 990930 | 116.032|   16.200|1.7578e-07|     2.4558e-08|3.2930e-07|     7.2805e-08|
|      05597|GRB 960908 |  31.168|    3.586|6.3677e-07|     1.8013e-08|2.1354e-06|     4.2502e-08|
|      02069|4B 921127  |  48.384|    2.189|6.0510e-08|     1.3229e-08|2.7407e-07|     3.6640e-08|
|      03516|4B 950421  |  19.200|    1.218|6.6157e-07|     1.5336e-08|2.6282e-06|     4.7185e-08|
|      03296|4B 941126- |        |         |1.4116e-08|     4.0629e-09|4.4231e-08|     1.1128e-08|
|      06194|GRB 970419 |  35.264|    1.056|1.6135e-06|     3.0668e-08|2.6987e-06|     7.9061e-08|
|      03166|4B 940911  |   5.504|    0.730|2.8087e-07|     2.1950e-08|4.3181e-07|     5.8438e-08|
|      08082|GRB 000420-|  10.112|    0.528|7.0968e-08|     1.1715e-08|3.9480e-07|     3.0123e-08|
|      02985|4B 940521- |  31.104|    3.605|4.3236e-07|     2.3672e-08|1.0180e-06|     6.2567e-08|
|      07472|GRB 990315-|   1.958|    0.066|6.2990e-08|     6.3520e-09|6.5834e-07|     2.0421e-08|
|      03347|4B 950105  |  61.216|    6.292|7.0671e-07|     3.4931e-08|2.0671e-06|     9.6915e-08|
|      03102|4B 940730  |  37.056|    1.190|1.2224e-06|     3.6335e-08|4.6470e-06|     1.0434e-07|
|      00226|4B 910525  | 221.184|    0.466|3.2057e-06|     3.4072e-08|9.4294e-06|     8.3599e-08|
|      07813|GRB 991020 |   0.564|    0.164|7.9730e-08|     4.2030e-09|1.5033e-07|     1.0558e-08|
|      06578|GRB 980124-|  68.352|    1.361|6.6051e-07|     3.1906e-08|1.5876e-06|     1.0048e-07|
|      02252|4B 930316  |  35.328|    6.725|4.7352e-07|     2.0653e-08|1.4918e-06|     5.5672e-08|
|      01647|4B 920613- |        |         |          |               |          |               |
|      03091|4B 940720  |   9.472|    0.580|5.3142e-07|     3.7130e-08|9.2143e-07|     9.7897e-08|
|      06674|GRB 980401-|  86.336|   11.699|9.3721e-07|     3.5421e-08|2.2104e-06|     1.1146e-07|
|      03044|4B 940624- |        |         |4.6104e-07|     2.2727e-08|1.1270e-06|     6.4267e-08|
|      06582|GRB 980126 |   7.040|    1.218|2.4865e-07|     1.1158e-08|3.6006e-07|     3.1326e-08|
|      00297|4B 910608  |   0.960|    0.091|3.3207e-08|     3.0735e-09|1.5530e-07|     7.8882e-09|
|      01465|4B 920305- |        |         |8.5778e-08|     1.2200e-08|2.9903e-07|     3.5487e-08|
